,Unnamed: 0,Private_Key,Hybrid,Geom1,Geom2,length,k_Value,Hybrid_Perc,NonHyb_Cell_Count,Hyb_Cell_Count,TotalAtom,DimLow,DimHigh,Volume,Density,Norm_Density,Max_Stress,Norm_Stress,Strain_At_Max_Stress,Strain_At_SSR,Stress_At_SSR,Young_Modulus,Norm_Young_Modulus,Elastic_Strain_Energy,Strain_Energy,Folder,Geom_File,Stress_File,max_stress_geom1,max_stress_geom2,max_young_geom1,max_young_geom2,el_strainEn_geom1,el_strainEn_geom2,strainEn_geom1,strainEn_geom2,density_geom1,density_geom2,norm_stress_geom1,norm_stress_geom2,norm_young_geom1,norm_young_geom2,norm_elEn_geom1,norm_elEn_geom2,norm_Ener_geom1,norm_Ener_geom2,norm_dens_stress_geom1,norm_dens_stress_geom2,norm_dens_young_geom1,norm_dens_young_geom2,norm_dens_elEn_geom1,norm_dens_elEn_geom2,norm_dens_Ener_geom1,norm_dens_Ener_geom2
0,1,1,True,SchwarzD,SchwarzP,30,0.0,50,2,1,11368.0,-30.0,30.0,216000.0,1049.6840039941917,0.4563843495626919,7.996898824934654,0.0615146063456511,0.1160000000000004,0.05,4.628075524896704,92.56151049793397,0.090746578919543,0.5448355445720765,1.1805266321321066,0,0,0,7.996898824934654,6.949327272754074,92.56151049793397,43.72692401487206,0.5448355445720765,0.5104039293384989,1.1805266321321066,0.9698171116565368,1049.6840039941917,604.2515941359949,1.0,1.150744311077095,1.0,2.1168081813038726,1.0,1.0674595418538455,78.40696514466764,95.44223275234894,1.0,0.6624270559191158,1.0,1.2185426406098294,1.0,0.614484099392291,78.40696514466764,54.941411957369056
1,2,2,True,SchwarzD,SchwarzP,30,0.1,50,2,1,10224.0,-30.0,30.0,216000.0,944.0507791024468,0.4104568604793246,6.496115357243355,0.0499701181326412,0.2172499999999995,0.0499999999999999,1.9485532805710453,38.97106561142091,0.0382069270700205,0.7931433660883086,1.2293933889770974,0,0,0,7.996898824934654,6.949327272754074,92.56151049793397,43.72692401487206,0.5448355445720765,0.5104039293384989,1.1805266321321066,0.9698171116565368,1049.6840039941917,604.2515941359949,0.812329316583099,0.9347833397791457,0.4210288423533319,0.8912372980584313,1.455748205105189,1.553952312076143,33.01159376729746,40.183932767338725,0.9032237549801126,0.5983198528476849,0.4681392683756531,0.5704476602596219,1.6186370887750188,0.9946267537388771,36.705379298380045,25.720232397248104
2,3,3,True,SchwarzD,SchwarzP,30,0.2,50,2,1,9196.0,-30.0,30.0,216000.0,849.1286154759487,0.3691863545547603,5.705678193380953,0.0438898322567765,0.2063999999999999,0.05,1.3662021154767432,27.32404230953481,0.0267882767740537,0.6206970834943892,1.0921202689552911,0,0,0,7.996898824934654,6.949327272754074,92.56151049793397,43.72692401487206,0.5448355445720765,0.5104039293384989,1.1805266321321066,0.9698171116565368,1049.6840039941917,604.2515941359949,0.7134863549342925,0.82104036397177,0.29519875121468225,0.624879131681926,1.139237499605309,1.2160899393914033,23.14563819723901,28.174427921634454,0.8820044457256458,0.5842636082896112,0.3649216402575586,0.44467257913511576,1.4083136032528443,0.8653863161567361,28.612398328209345,20.049310169549358
3,4,4,True,SchwarzD,SchwarzP,30,0.3,50,2,1,9122.0,-30.0,30.0,216000.0,842.2956970826016,0.3662155204706963,6.676538306572876,0.0513579869736375,0.2882500000000006,0.0499999999999999,1.6879138732936765,33.758277465873576,0.0330963504567388,1.1913319763370582,1.9414529274059928,0,0,0,7.996898824934654,6.949327272754074,92.56151049793397,43.72692401487206,0.5448355445720765,0.5104039293384989,1.1805266321321066,0.9698171116565368,1049.6840039941917,604.2515941359949,0.8348909311888704,0.9607459894354509,0.3647118255122585,0.7720249760626193,2.1865900420882993,2.3340964045497565,28.59594739078776,34.80891093807505,1.0404560519354396,0.6892262392968199,0.4545104179372238,0.5538403248579019,2.7249677262069496,1.6744493391113362,35.636782497092234,24.971444110804995
4,5,5,True,SchwarzD,SchwarzP,30,0.4,50,2,1,9288.0,-30.0,30.0,216000.0,857.62359510011,0.3728798239565696,5.9630145018369625,0.0458693423218227,0.2074499999999995,0.0500000000000001,1.738383892903022,34.76767785806035,0.0340859586843728,0.7011358088779611,1.3853106415401726,0,0,0,7.996898824934654,6.949327272754074,92.56151049793397,43.72692401487206,0.5448355445720765,0.5104039293384989,1.1805266321321066,0.9698171116565368,1049.6840039941917,604.2515941359949,0.7456658677791499,0.858070755311222,0.3756170104725807,0.7951091608052613,1.2868760415193645,1.373688109702951,29.4509898478679,35.849726139265535,0.912653917411001,0.6045666475836172,0.4597345149711777,0.560206109852458,1.5750653359164664,0.9678526044246459,36.046388091145815,25.25846337805272
5,6,6,True,SchwarzD,SchwarzP,30,0.5,50,2,1,9533.0,-30.0,30.0,216000.0,880.2460951861917,0.3827156935592138,6.090151992415025,0.0468473230185771,0.2439,0.0500000000000001,1.909288707382216,38.185774147644224,0.0374370334780825,0.9501907191783856,1.390525293554197,0,0,0,7.996898824934654,6.949327272754074,92.56151049793397,43.72692401487206,0.5448355445720765,0.5104039293384989,1.1805266321321066,0.9698171116565368,1049.6840039941917,604.2515941359949,0.7615642170469489,0.8763656902866584,0.412544846580659,0.8732783063966899,1.7439954655026817,1.8616446006006764,32.34638940646199,39.37420126813334,0.9081571403954386,0.6015878608240736,0.4919552938140074,0.599468502786105,2.0796958409560986,1.2779400258398015,38.572721574809606,27.02871846204391
6,7,7,True,SchwarzD,SchwarzP,30,0.6,50,2,1,9744.0,-30.0,30.0,216000.0,899.7291462807356,0.3911865853394502,5.531301344407121,0.0425484718800547,0.1833999999999994,0.0499999999999999,1.65533286823483,33.106657364696645,0.0324575072202908,0.5673946197516669,0.9354918030595132,0,0,0,7.996898824934654,6.949327272754074,92.56151049793397,43.72692401487206,0.5448355445720765,0.5104039293384989,1.1805266321321066,0.9698171116565368,1049.6840039941917,604.2515941359949,0.6916807959555896,0.7959477410271717,0.35767196523262884,0.757122942227463,1.0414052926692012,1.1116580165968353,28.043973311219506,34.13701095472262,0.8069609286148547,0.534552752184094,0.41728395943806706,0.5084782978177872,1.2149728414474017,0.7465814922628993,32.71796886308943,22.92616991868892
7,8,8,True,SchwarzD,SchwarzP,30,0.7,50,2,1,9656.0,-30.0,30.0,216000.0,891.6035135967551,0.3876537015638066,7.387007829364644,0.0568231371489588,0.2176500000000003,0.0499999999999999,2.055782575258814,41.115651505176295,0.0403094622599767,0.9397793498141264,1.685748876230818,0,0,0,7.996898824934654,6.949327272754074,92.56151049793397,43.72692401487206,0.5448355445720765,0.5104039293384989,1.1805266321321066,0.9698171116565368,1049.6840039941917,604.2515941359949,0.92373406130032,1.0629817159894837,0.4441981476317202,0.9402822730268509,1.7248862692177063,1.8412463066891214,34.82822867868622,42.3952629944289,1.0875112685234094,0.720396887886825,0.5229540743866401,0.6372418387207657,2.0307070327741186,1.2478371821637957,41.00324188269523,28.731835235661013
8,9,9,True,SchwarzD,SchwarzP,30,0.8,50,2,1,9636.0,-30.0,30.0,216000.0,889.7567788958506,0.3868507734329785,6.970256899189442,0.0536173607629957,0.1823500000000002,0.05,2.126900970725252,42.538019414505,0.0417039406024558,0.7207681536932596,1.1153804004327337,0,0,0,7.996898824934654,6.949327272754074,92.56151049793397,43.72692401487206,0.5448355445720765,0.5104039293384989,1.1805266321321066,0.9698171116565368,1049.6840039941917,604.2515941359949,0.8716199931723406,1.0030117485641274,0.4595648794587733,0.9728106966782594,1.3229095657834948,1.4121524390053188,36.03308748543743,43.86189819010942,1.028287264672392,0.6811653053760534,0.5421682803743603,0.6606551680222634,1.560692812767411,0.9590209174814038,42.50976946185686,29.787490842266095
9,10,10,True,SchwarzD,SchwarzP,30,0.9,50,2,1,9925.0,-30.0,30.0,216000.0,916.4420953239224,0.3984530849234445,6.294951000727368,0.0484227000055951,0.1731500000000004,0.0499999999999999,1.6381666344657069,32.7633326893142,0.0321209144012884,0.5363500726816672,1.1600663592663747,0,0,0,7.996898824934654,6.949327272754074,92.56151049793397,43.72692401487206,0.5448355445720765,0.5104039293384989,1.1805266321321066,0.9698171116565368,1049.6840039941917,604.2515941359949,0.7871740206465356,0.9058360260866846,0.35396281362592386,0.7492713797606936,0.9844256271916438,1.0508345289911765,27.753149990476302,33.78300124376173,0.9016215885853722,0.5972585344797243,0.4054256186699751,0.4940284039449853,1.127551690671497,0.6928625851605299,31.788192351812057,22.274655933418316
